,index,alias,Date,curr_curtail_type,curr_watts,Season,Type,Businessday,Uncontrolled,Daily kWh
0,0,BPAa101,2018-01-22,6.591666666666667,125.22222222222223,3.0,1.0,1.0,0.0,3.0053333333333336
1,1,BPAa101,2018-01-23,5.188194444444444,67.72222222222223,3.0,1.0,1.0,0.0,1.6253333333333335
2,2,BPAa101,2018-01-24,5.188194444444444,78.45555555555555,3.0,1.0,1.0,0.0,1.8829333333333331
3,3,BPAa101,2018-01-25,5.188194444444444,56.98888888888889,3.0,1.0,1.0,0.0,1.3677333333333332
4,4,BPAa101,2018-01-27,5.188194444444444,65.93333333333334,3.0,1.0,0.0,0.0,1.5824
5,5,BPAa101,2018-01-28,5.183333333333334,106.82222222222222,3.0,1.0,0.0,0.0,2.5637333333333334
6,6,BPAa101,2018-01-30,8.0,45.74444444444445,3.0,1.0,1.0,1.0,1.0978666666666668
7,7,BPAa101,2018-01-31,8.0,73.34444444444445,3.0,1.0,1.0,1.0,1.7602666666666669
8,8,BPAa101,2018-02-01,8.0,85.1,3.0,1.0,1.0,1.0,2.0423999999999998
9,9,BPAa101,2018-02-03,8.0,57.75555555555555,3.0,1.0,0.0,1.0,1.3861333333333332
10,10,BPAa101,2018-02-04,8.0,55.71111111111111,3.0,1.0,0.0,1.0,1.3370666666666666
11,11,BPAa101,2018-02-05,5.892361111111111,97.62222222222222,3.0,1.0,1.0,0.0,2.3429333333333333
12,12,BPAa101,2018-02-06,5.8875,42.67777777777778,3.0,1.0,1.0,0.0,1.0242666666666667
13,13,BPAa101,2018-02-07,5.8875,141.57777777777778,3.0,1.0,1.0,0.0,3.397866666666667
14,14,BPAa101,2018-02-08,5.8875,55.455555555555556,3.0,1.0,1.0,0.0,1.3309333333333333
15,15,BPAa101,2018-02-09,5.897222222222222,82.54444444444445,3.0,1.0,1.0,0.0,1.9810666666666668
16,16,BPAa101,2018-02-10,5.8875,86.63333333333334,3.0,1.0,0.0,0.0,2.0792
17,17,BPAa101,2018-02-12,8.0,80.5,3.0,1.0,1.0,1.0,1.932
18,18,BPAa101,2018-02-13,8.0,113.14722222222223,3.0,1.0,1.0,1.0,2.715533333333333
19,19,BPAa101,2018-02-14,8.0,87.91111111111111,3.0,1.0,1.0,1.0,2.109866666666667
20,20,BPAa101,2018-02-15,8.0,99.41111111111111,3.0,1.0,1.0,1.0,2.385866666666667
21,21,BPAa101,2018-02-16,8.0,59.8,3.0,1.0,1.0,1.0,1.4351999999999998
22,22,BPAa101,2018-02-18,8.0,58.266666666666666,3.0,1.0,0.0,1.0,1.3984
23,23,BPAa101,2018-02-19,5.988888888888889,105.54444444444445,3.0,1.0,0.0,0.0,2.5330666666666666
24,24,BPAa101,2018-02-20,5.988888888888889,54.94444444444444,3.0,1.0,1.0,0.0,1.3186666666666664
25,25,BPAa101,2018-02-21,5.986805555555556,123.75277777777778,3.0,1.0,1.0,0.0,2.9700666666666664
26,26,BPAa101,2018-02-22,6.188888888888889,253.575,3.0,1.0,1.0,0.0,6.085799999999999
27,27,BPAa101,2018-02-23,5.8875,131.675,3.0,1.0,1.0,0.0,3.1602
28,28,BPAa101,2018-02-25,5.8875,39.611111111111114,3.0,1.0,0.0,0.0,0.9506666666666668
29,29,BPAa101,2018-02-26,7.708333333333333,79.22222222222223,3.0,1.0,1.0,0.0,1.9013333333333335
30,30,BPAa101,2018-02-27,8.0,138.31944444444446,3.0,1.0,1.0,1.0,3.319666666666667
31,31,BPAa101,2018-02-28,8.0,86.12222222222222,3.0,1.0,1.0,1.0,2.0669333333333335
32,32,BPAa101,2018-03-01,8.0,58.266666666666666,3.0,1.0,1.0,1.0,1.3984
33,33,BPAa101,2018-03-02,8.0,64.65555555555555,3.0,1.0,1.0,1.0,1.5517333333333332
34,34,BPAa101,2018-03-03,8.0,64.91111111111111,3.0,1.0,0.0,1.0,1.5578666666666667
35,35,BPAa101,2018-03-04,8.0,162.59722222222223,3.0,1.0,0.0,1.0,3.9023333333333334
36,36,BPAa101,2018-03-05,5.8875,58.522222222222226,3.0,1.0,1.0,0.0,1.4045333333333334
37,37,BPAa101,2018-03-06,5.8875,127.77777777777777,3.0,1.0,1.0,0.0,3.0666666666666664
38,38,BPAa101,2018-03-07,5.892361111111111,144.13333333333333,3.0,1.0,1.0,0.0,3.4591999999999996
39,39,BPAa101,2018-03-09,5.988888888888889,52.388888888888886,3.0,1.0,1.0,0.0,1.2573333333333332
40,40,BPAa101,2018-03-12,8.0,108.1,3.0,1.0,1.0,1.0,2.5944
41,41,BPAa101,2018-03-13,8.0,75.13333333333334,3.0,1.0,1.0,1.0,1.8032000000000004
42,42,BPAa101,2018-03-15,8.0,60.82222222222222,3.0,1.0,1.0,1.0,1.4597333333333333
43,43,BPAa101,2018-03-16,8.0,73.6,3.0,1.0,1.0,1.0,1.7664
44,44,BPAa101,2018-03-17,8.0,65.93333333333334,3.0,1.0,0.0,1.0,1.5824
45,45,BPAa101,2018-03-18,8.0,97.11111111111111,3.0,1.0,0.0,1.0,2.330666666666667
46,46,BPAa101,2018-03-19,6.179166666666666,71.55555555555556,3.0,1.0,1.0,0.0,1.7173333333333334
47,47,BPAa101,2018-03-20,5.8875,72.57777777777778,3.0,1.0,1.0,0.0,1.741866666666667
48,48,BPAa101,2018-03-21,5.8875,96.34444444444445,3.0,1.0,1.0,0.0,2.312266666666667
49,49,BPAa101,2018-03-22,7.204861111111111,56.477777777777774,3.0,1.0,1.0,0.0,1.3554666666666666
50,50,BPAa101,2018-03-24,5.8875,88.93333333333334,3.0,1.0,0.0,0.0,2.1344000000000003
51,51,BPAa101,2018-03-26,7.688888888888889,42.422222222222224,3.0,1.0,1.0,0.0,1.0181333333333333
52,52,BPAa101,2018-03-27,8.0,84.07777777777778,3.0,1.0,1.0,1.0,2.017866666666667
53,53,BPAa101,2018-03-28,8.0,42.422222222222224,3.0,1.0,1.0,1.0,1.0181333333333333
54,54,BPAa101,2018-03-29,8.0,107.07777777777778,3.0,1.0,1.0,1.0,2.569866666666667
55,55,BPAa101,2018-03-30,8.0,46.51111111111111,3.0,1.0,1.0,1.0,1.1162666666666667
56,56,BPAa101,2018-03-31,8.0,56.22222222222222,3.0,1.0,0.0,1.0,1.3493333333333333
57,57,BPAa101,2018-04-01,8.0,92.0,3.0,1.0,0.0,1.0,2.208
58,58,BPAa101,2018-04-02,7.004166666666666,36.8,1.0,1.0,1.0,0.0,0.8832
59,59,BPAa101,2018-04-03,5.386111111111111,125.73333333333333,1.0,1.0,1.0,0.0,3.0176
60,60,BPAa101,2018-04-04,5.386111111111111,43.955555555555556,1.0,1.0,1.0,0.0,1.0549333333333335
61,61,BPAa101,2018-04-05,5.395833333333333,85.1,1.0,1.0,1.0,0.0,2.0423999999999998
62,62,BPAa101,2018-04-07,5.386111111111111,58.266666666666666,1.0,1.0,0.0,0.0,1.3984
63,63,BPAa101,2018-04-08,5.386111111111111,73.85555555555555,1.0,1.0,0.0,0.0,1.7725333333333333
64,64,BPAa101,2018-04-10,8.0,65.93333333333334,1.0,1.0,1.0,1.0,1.5824
65,65,BPAa101,2018-04-11,8.0,36.8,1.0,1.0,1.0,1.0,0.8832
66,66,BPAa101,2018-04-12,8.0,81.26666666666667,1.0,1.0,1.0,1.0,1.9504000000000001
67,67,BPAa101,2018-04-13,8.0,59.544444444444444,1.0,1.0,1.0,1.0,1.4290666666666667
68,68,BPAa101,2018-04-14,8.0,64.14444444444445,1.0,1.0,0.0,1.0,1.5394666666666668
69,69,BPAa101,2018-04-15,8.0,101.2,1.0,1.0,0.0,1.0,2.4288000000000003
70,70,BPAa101,2018-04-16,5.198611111111111,58.77777777777778,1.0,1.0,1.0,0.0,1.4106666666666667
71,71,BPAa101,2018-04-19,4.899305555555555,85.86666666666666,1.0,1.0,1.0,0.0,2.0607999999999995
72,72,BPAa101,2018-04-20,4.897222222222222,53.41111111111111,1.0,1.0,1.0,0.0,1.2818666666666667
73,73,BPAa101,2018-04-22,4.897222222222222,86.37777777777778,1.0,1.0,0.0,0.0,2.0730666666666666
74,74,BPAa101,2018-04-23,7.698611111111111,55.455555555555556,1.0,1.0,1.0,0.0,1.3309333333333333
75,75,BPAa101,2018-04-24,8.0,26.066666666666666,1.0,1.0,1.0,1.0,0.6256
76,76,BPAa101,2018-04-25,8.0,26.066666666666666,1.0,1.0,1.0,1.0,0.6256
77,77,BPAa101,2018-04-26,8.0,30.92222222222222,1.0,1.0,1.0,1.0,0.7421333333333333
78,78,BPAa101,2018-04-27,8.0,90.46666666666667,1.0,1.0,1.0,1.0,2.1712
79,79,BPAa101,2018-04-28,8.0,49.833333333333336,1.0,1.0,0.0,1.0,1.196
80,80,BPAa101,2018-04-29,8.0,64.65555555555555,1.0,1.0,0.0,1.0,1.5517333333333332
81,81,BPAa101,2018-05-01,5.5,92.76666666666667,1.0,1.0,1.0,0.0,2.2264
82,82,BPAa101,2018-05-04,5.5,46.25555555555555,1.0,1.0,1.0,0.0,1.1101333333333332
83,83,BPAa101,2018-05-05,5.5,61.58888888888889,1.0,1.0,0.0,0.0,1.4781333333333333
84,84,BPAa101,2018-05-06,5.5,64.14444444444445,1.0,1.0,0.0,0.0,1.5394666666666668
85,85,BPAa101,2018-05-07,8.0,34.75555555555555,1.0,1.0,1.0,1.0,0.8341333333333332
86,86,BPAa101,2018-05-08,8.0,34.75555555555555,1.0,1.0,1.0,1.0,0.8341333333333332
87,87,BPAa101,2018-05-09,8.0,30.41111111111111,1.0,1.0,1.0,1.0,0.7298666666666667
88,88,BPAa101,2018-05-10,8.0,76.66666666666667,1.0,1.0,1.0,1.0,1.84
89,89,BPAa101,2018-05-11,8.0,50.08888888888889,1.0,1.0,1.0,1.0,1.2021333333333333
90,90,BPAa101,2018-05-12,8.0,67.21111111111111,1.0,1.0,0.0,1.0,1.6130666666666666
91,91,BPAa101,2018-05-16,5.198611111111111,44.72222222222222,1.0,1.0,1.0,0.0,1.0733333333333333
92,92,BPAa101,2018-05-17,6.990277777777778,37.56666666666667,1.0,1.0,1.0,0.0,0.9016000000000002
93,93,BPAa101,2018-05-20,5.198611111111111,62.1,1.0,1.0,0.0,0.0,1.4904000000000002
94,94,BPAa101,2018-05-21,7.990277777777778,70.02222222222223,1.0,1.0,1.0,0.0,1.6805333333333332
95,95,BPAa101,2018-05-22,8.0,29.644444444444446,1.0,1.0,1.0,1.0,0.7114666666666667
96,96,BPAa101,2018-05-23,8.0,37.82222222222222,1.0,1.0,1.0,1.0,0.9077333333333334
97,97,BPAa101,2018-05-24,8.0,32.71111111111111,1.0,1.0,1.0,1.0,0.7850666666666666
98,98,BPAa101,2018-05-25,8.0,61.077777777777776,1.0,1.0,1.0,1.0,1.4658666666666667
99,99,BPAa101,2018-05-26,8.0,48.81111111111111,1.0,1.0,0.0,1.0,1.1714666666666667
100,100,BPAa101,2018-05-28,4.814583333333333,60.31111111111111,1.0,1.0,0.0,0.0,1.4474666666666667
101,101,BPAa101,2018-05-30,4.899305555555555,42.166666666666664,1.0,1.0,1.0,0.0,1.012
102,102,BPAa101,2018-05-31,5.323611111111111,50.855555555555554,1.0,1.0,1.0,0.0,1.2205333333333332
103,103,BPAa101,2018-06-02,4.897222222222222,101.96666666666667,1.0,1.0,0.0,0.0,2.4471999999999996
104,104,BPAa101,2018-06-03,4.904166666666667,21.977777777777778,1.0,1.0,0.0,0.0,0.5274666666666668
105,105,BPAa101,2018-06-04,8.0,39.86666666666667,1.0,1.0,1.0,1.0,0.9568
106,106,BPAa101,2018-06-05,8.0,34.24444444444445,1.0,1.0,1.0,1.0,0.8218666666666667
107,107,BPAa101,2018-06-06,8.0,59.03333333333333,1.0,1.0,1.0,1.0,1.4168
108,108,BPAa101,2018-06-09,8.0,36.03333333333333,1.0,1.0,0.0,1.0,0.8647999999999999
109,109,BPAa101,2018-06-10,8.0,97.87777777777778,1.0,1.0,0.0,1.0,2.3490666666666664
110,110,BPAa101,2018-06-11,5.450694444444444,42.166666666666664,2.0,1.0,1.0,0.0,1.012
111,111,BPAa101,2018-06-12,5.448611111111111,58.266666666666666,2.0,1.0,1.0,0.0,1.3984
112,112,BPAa101,2018-06-15,5.450694444444444,49.06666666666667,2.0,1.0,1.0,0.0,1.1776000000000002
113,113,BPAa101,2018-06-16,5.448611111111111,89.44444444444444,2.0,1.0,0.0,0.0,2.1466666666666665
114,114,BPAa101,2018-06-17,8.0,20.955555555555556,2.0,1.0,0.0,1.0,0.5029333333333333
115,115,BPAa101,2018-06-18,8.0,30.155555555555555,2.0,1.0,1.0,1.0,0.7237333333333333
116,116,BPAa101,2018-06-19,8.0,19.677777777777777,2.0,1.0,1.0,1.0,0.47226666666666667
117,117,BPAa101,2018-06-20,8.0,39.355555555555554,2.0,1.0,1.0,1.0,0.9445333333333333
118,118,BPAa101,2018-06-21,8.0,113.21111111111111,2.0,1.0,1.0,1.0,2.7170666666666667
119,119,BPAa101,2018-06-22,8.0,60.82222222222222,2.0,1.0,1.0,1.0,1.4597333333333333
120,120,BPAa101,2018-06-23,8.0,37.31111111111111,2.0,1.0,0.0,1.0,0.8954666666666667
121,121,BPAa101,2018-06-24,8.0,65.67777777777778,2.0,1.0,0.0,1.0,1.5762666666666667
122,122,BPAa101,2018-06-25,6.034027777777778,43.18888888888889,2.0,1.0,1.0,0.0,1.0365333333333333
123,123,BPAa101,2018-06-26,5.448611111111111,38.58888888888889,2.0,1.0,1.0,0.0,0.9261333333333334
124,124,BPAa101,2018-06-28,5.448611111111111,33.477777777777774,2.0,1.0,1.0,0.0,0.8034666666666666
125,125,BPAa101,2018-06-29,5.448611111111111,54.17777777777778,2.0,1.0,1.0,0.0,1.3002666666666667
126,126,BPAa101,2018-07-01,5.44375,66.95555555555555,2.0,1.0,0.0,0.0,1.606933333333333
127,127,BPAa101,2018-07-02,7.4118055555555555,37.56666666666667,2.0,1.0,1.0,0.0,0.9016000000000002
128,128,BPAa101,2018-07-03,8.0,50.855555555555554,2.0,1.0,1.0,1.0,1.2205333333333332
129,129,BPAa101,2018-07-04,8.0,81.0111111111111,2.0,1.0,0.0,1.0,1.9442666666666664
130,130,BPAa101,2018-07-05,8.0,38.84444444444444,2.0,1.0,1.0,1.0,0.9322666666666667
131,131,BPAa101,2018-07-06,8.0,28.11111111111111,2.0,1.0,1.0,1.0,0.6746666666666666
132,132,BPAa101,2018-07-07,8.0,32.96666666666667,2.0,1.0,0.0,1.0,0.7912
133,133,BPAa101,2018-07-08,8.0,43.44444444444444,2.0,1.0,0.0,1.0,1.0426666666666664
134,134,BPAa101,2018-07-09,5.448611111111111,44.21111111111111,2.0,1.0,1.0,0.0,1.0610666666666666
135,135,BPAa101,2018-07-10,5.322916666666667,53.666666666666664,2.0,1.0,1.0,0.0,1.288
136,136,BPAa101,2018-07-11,5.448611111111111,28.622222222222224,2.0,1.0,1.0,0.0,0.6869333333333334
137,137,BPAa101,2018-07-13,5.448611111111111,31.944444444444443,2.0,1.0,1.0,0.0,0.7666666666666666
138,138,BPAa101,2018-07-15,5.4527777777777775,47.27777777777778,2.0,1.0,0.0,0.0,1.1346666666666667
139,139,BPAa101,2018-07-17,8.0,53.922222222222224,2.0,1.0,1.0,1.0,1.2941333333333334
140,140,BPAa101,2018-07-18,8.0,27.344444444444445,2.0,1.0,1.0,1.0,0.6562666666666667
141,141,BPAa101,2018-07-19,8.0,62.355555555555554,2.0,1.0,1.0,1.0,1.4965333333333333
142,142,BPAa101,2018-07-20,8.0,31.68888888888889,2.0,1.0,1.0,1.0,0.7605333333333333
143,143,BPAa101,2018-07-21,8.0,37.31111111111111,2.0,1.0,0.0,1.0,0.8954666666666667
144,144,BPAa101,2018-07-22,8.0,33.98888888888889,2.0,1.0,0.0,1.0,0.8157333333333333
145,145,BPAa101,2018-07-24,5.170833333333333,18.91111111111111,2.0,1.0,1.0,0.0,0.4538666666666667
146,146,BPAa101,2018-07-25,5.45625,56.22222222222222,2.0,1.0,1.0,0.0,1.3493333333333333
147,147,BPAa101,2018-07-26,5.16875,47.27777777777778,2.0,1.0,1.0,0.0,1.1346666666666667
148,148,BPAa101,2018-07-27,5.166666666666667,28.11111111111111,2.0,1.0,1.0,0.0,0.6746666666666666
149,149,BPAa101,2018-07-28,5.166666666666667,38.077777777777776,2.0,1.0,0.0,0.0,0.9138666666666666
150,150,BPAa101,2018-07-29,4.875,55.96666666666667,2.0,1.0,0.0,0.0,1.3432
151,151,BPAa101,2018-07-30,8.0,26.066666666666666,2.0,1.0,1.0,1.0,0.6256
152,152,BPAa101,2018-07-31,8.0,40.37777777777778,2.0,1.0,1.0,1.0,0.9690666666666667
153,153,BPAa101,2018-08-01,8.0,50.34444444444444,2.0,1.0,1.0,1.0,1.2082666666666666
154,154,BPAa101,2018-08-03,8.0,42.166666666666664,2.0,1.0,1.0,1.0,1.012
155,155,BPAa101,2018-08-04,8.0,54.43333333333333,2.0,1.0,0.0,1.0,1.3063999999999998
156,156,BPAa101,2018-08-05,8.0,55.71111111111111,2.0,1.0,0.0,1.0,1.3370666666666666
157,157,BPAa101,2018-08-06,6.741666666666666,25.81111111111111,2.0,1.0,1.0,0.0,0.6194666666666667
158,158,BPAa101,2018-08-07,5.450694444444444,28.366666666666667,2.0,1.0,1.0,0.0,0.6808
159,159,BPAa101,2018-08-08,5.450694444444444,32.71111111111111,2.0,1.0,1.0,0.0,0.7850666666666666
160,160,BPAa101,2018-08-09,6.741666666666666,25.3,2.0,1.0,1.0,0.0,0.6072000000000001
161,161,BPAa101,2018-08-10,5.450694444444444,42.67777777777778,2.0,1.0,1.0,0.0,1.0242666666666667
162,162,BPAa101,2018-08-11,5.448611111111111,26.066666666666666,2.0,1.0,0.0,0.0,0.6256
163,163,BPAa101,2018-08-12,5.450694444444444,31.177777777777777,2.0,1.0,0.0,0.0,0.7482666666666666
164,164,BPAa101,2018-08-13,8.0,26.066666666666666,2.0,1.0,1.0,1.0,0.6256
165,165,BPAa101,2018-08-15,8.0,62.1,2.0,1.0,1.0,1.0,1.4904000000000002
166,166,BPAa101,2018-08-16,8.0,25.81111111111111,2.0,1.0,1.0,1.0,0.6194666666666667
167,167,BPAa101,2018-08-17,8.0,82.54444444444445,2.0,1.0,1.0,1.0,1.9810666666666668
168,168,BPAa101,2018-08-18,8.0,42.67777777777778,2.0,1.0,0.0,1.0,1.0242666666666667
169,169,BPAa101,2018-08-21,6.45,33.22222222222222,2.0,1.0,1.0,0.0,0.7973333333333332
170,170,BPAa101,2018-08-23,4.333333333333333,40.63333333333333,2.0,1.0,1.0,0.0,0.9752000000000001
171,171,BPAa101,2018-08-24,6.454166666666667,60.56666666666667,2.0,1.0,1.0,0.0,1.4536000000000002
172,172,BPAa101,2018-08-25,6.741666666666666,30.666666666666668,2.0,1.0,0.0,0.0,0.736
173,173,BPAa102,2018-01-22,6.9625,152.8736111111111,3.0,1.0,1.0,0.0,3.668966666666666
174,174,BPAa102,2018-01-23,8.0,173.83333333333334,3.0,1.0,1.0,1.0,4.172
175,175,BPAa102,2018-01-24,8.0,42.67777777777778,3.0,1.0,1.0,1.0,1.0242666666666667
176,176,BPAa102,2018-01-25,8.0,25.3,3.0,1.0,1.0,1.0,0.6072000000000001
177,177,BPAa102,2018-01-26,8.0,157.9909722222222,3.0,1.0,1.0,1.0,3.791783333333333
178,178,BPAa102,2018-01-27,8.0,161.11944444444444,3.0,1.0,0.0,1.0,3.8668666666666667
179,179,BPAa102,2018-01-28,8.0,100.65972222222223,3.0,1.0,0.0,1.0,2.4158333333333335
180,180,BPAa102,2018-01-29,6.470833333333333,40.63333333333333,3.0,1.0,1.0,0.0,0.9752000000000001
181,181,BPAa102,2018-01-30,5.8875,106.05555555555556,3.0,1.0,1.0,0.0,2.5453333333333337
182,182,BPAa102,2018-01-31,5.892361111111111,47.022222222222226,3.0,1.0,1.0,0.0,1.1285333333333334
183,183,BPAa102,2018-02-01,5.892361111111111,119.31111111111112,3.0,1.0,1.0,0.0,2.8634666666666666
184,184,BPAa102,2018-02-02,5.8875,25.555555555555557,3.0,1.0,1.0,0.0,0.6133333333333334
185,185,BPAa102,2018-02-04,6.008333333333334,13.544444444444444,3.0,1.0,0.0,0.0,0.32506666666666667
186,186,BPAa102,2018-02-05,8.0,21.72222222222222,3.0,1.0,1.0,1.0,0.5213333333333332
187,187,BPAa102,2018-02-06,8.0,22.744444444444444,3.0,1.0,1.0,1.0,0.5458666666666667
188,188,BPAa102,2018-02-07,8.0,22.744444444444444,3.0,1.0,1.0,1.0,0.5458666666666667
189,189,BPAa102,2018-02-08,8.0,22.744444444444444,3.0,1.0,1.0,1.0,0.5458666666666667
190,190,BPAa102,2018-02-09,8.0,23.0,3.0,1.0,1.0,1.0,0.552
191,191,BPAa102,2018-02-14,6.920833333333333,35.77777777777778,3.0,1.0,1.0,0.0,0.8586666666666667
192,192,BPAa102,2018-02-15,5.8875,35.266666666666666,3.0,1.0,1.0,0.0,0.8463999999999999
193,193,BPAa102,2018-02-16,5.8875,126.90138888888889,3.0,1.0,1.0,0.0,3.0456333333333334
194,194,BPAa102,2018-02-17,5.8875,169.375,3.0,1.0,0.0,0.0,4.065
195,195,BPAa102,2018-02-18,5.8875,132.56527777777777,3.0,1.0,0.0,0.0,3.1815666666666664
196,196,BPAa102,2018-02-19,8.0,152.43055555555554,3.0,1.0,0.0,1.0,3.658333333333333
197,197,BPAa102,2018-02-20,8.0,39.1,3.0,1.0,1.0,1.0,0.9384000000000001
198,198,BPAa102,2018-02-21,8.0,164.82083333333333,3.0,1.0,1.0,1.0,3.9556999999999998
199,199,BPAa102,2018-02-23,8.0,29.644444444444446,3.0,1.0,1.0,1.0,0.7114666666666667
200,200,BPAa102,2018-02-24,8.0,176.2590277777778,3.0,1.0,0.0,1.0,4.230216666666667
201,201,BPAa102,2018-02-25,8.0,135.46458333333334,3.0,1.0,0.0,1.0,3.25115
202,202,BPAa102,2018-02-26,5.988888888888889,29.38888888888889,3.0,1.0,1.0,0.0,0.7053333333333334
203,203,BPAa102,2018-02-27,5.988888888888889,34.24444444444445,3.0,1.0,1.0,0.0,0.8218666666666667
204,204,BPAa102,2018-02-28,5.892361111111111,41.91111111111111,3.0,1.0,1.0,0.0,1.0058666666666667
205,205,BPAa102,2018-03-01,5.892361111111111,142.17083333333332,3.0,1.0,1.0,0.0,3.4120999999999992
206,206,BPAa102,2018-03-02,5.988888888888889,40.63333333333333,3.0,1.0,1.0,0.0,0.9752000000000001
207,207,BPAa102,2018-03-03,5.8875,135.39444444444445,3.0,1.0,0.0,0.0,3.2494666666666667
208,208,BPAa102,2018-03-04,5.8875,116.29791666666667,3.0,1.0,0.0,0.0,2.79115
209,209,BPAa102,2018-03-05,8.0,135.1784722222222,3.0,1.0,1.0,1.0,3.2442833333333327
210,210,BPAa102,2018-03-06,8.0,52.388888888888886,3.0,1.0,1.0,1.0,1.2573333333333332
211,211,BPAa102,2018-03-07,8.0,29.38888888888889,3.0,1.0,1.0,1.0,0.7053333333333334
212,212,BPAa102,2018-03-09,8.0,41.91111111111111,3.0,1.0,1.0,1.0,1.0058666666666667
213,213,BPAa102,2018-03-12,5.892361111111111,127.79791666666667,3.0,1.0,1.0,0.0,3.0671500000000003
214,214,BPAa102,2018-03-15,5.988888888888889,29.644444444444446,3.0,1.0,1.0,0.0,0.7114666666666667
215,215,BPAa102,2018-03-16,7.491666666666666,146.1013888888889,3.0,1.0,1.0,0.0,3.5064333333333333
216,216,BPAa102,2018-03-17,5.8875,32.71111111111111,3.0,1.0,0.0,0.0,0.7850666666666666
217,217,BPAa102,2018-03-18,5.892361111111111,41.144444444444446,3.0,1.0,0.0,0.0,0.9874666666666667
218,218,BPAa102,2018-03-20,8.0,147.69861111111112,3.0,1.0,1.0,1.0,3.544766666666667
219,219,BPAa102,2018-03-21,8.0,28.622222222222224,3.0,1.0,1.0,1.0,0.6869333333333334
220,220,BPAa102,2018-03-22,8.0,25.81111111111111,3.0,1.0,1.0,1.0,0.6194666666666667
221,221,BPAa102,2018-03-23,8.0,25.3,3.0,1.0,1.0,1.0,0.6072000000000001
222,222,BPAa102,2018-03-24,8.0,165.67361111111111,3.0,1.0,0.0,1.0,3.976166666666667
223,223,BPAa102,2018-03-25,8.0,159.7097222222222,3.0,1.0,0.0,1.0,3.833033333333333
224,224,BPAa102,2018-03-26,7.491666666666666,141.59791666666666,3.0,1.0,1.0,0.0,3.3983499999999998
225,225,BPAa102,2018-03-27,5.8875,37.82222222222222,3.0,1.0,1.0,0.0,0.9077333333333334
226,226,BPAa102,2018-03-28,5.8875,134.68958333333333,3.0,1.0,1.0,0.0,3.2325500000000003
227,227,BPAa102,2018-03-29,5.892361111111111,24.022222222222222,3.0,1.0,1.0,0.0,0.5765333333333333
228,228,BPAa102,2018-03-30,5.892361111111111,130.67083333333332,3.0,1.0,1.0,0.0,3.1360999999999994
229,229,BPAa102,2018-03-31,5.8875,115.84861111111111,3.0,1.0,0.0,0.0,2.7803666666666667
230,230,BPAa102,2018-04-01,5.8875,121.78819444444444,3.0,1.0,0.0,0.0,2.9229166666666666
231,231,BPAa102,2018-04-02,8.0,27.344444444444445,1.0,1.0,1.0,1.0,0.6562666666666667
232,232,BPAa102,2018-04-04,8.0,118.59791666666666,1.0,1.0,1.0,1.0,2.8463499999999997
233,233,BPAa102,2018-04-05,8.0,24.788888888888888,1.0,1.0,1.0,1.0,0.5949333333333333
234,234,BPAa102,2018-04-06,8.0,20.7,1.0,1.0,1.0,1.0,0.49679999999999996
235,235,BPAa102,2018-04-07,8.0,106.525,1.0,1.0,0.0,1.0,2.5566000000000004
236,236,BPAa102,2018-04-08,7.997916666666667,35.01111111111111,1.0,1.0,0.0,0.0,0.8402666666666666
237,237,BPAa102,2018-04-09,5.198611111111111,134.75972222222222,1.0,1.0,1.0,0.0,3.2342333333333335
238,238,BPAa102,2018-04-11,5.205555555555556,24.533333333333335,1.0,1.0,1.0,0.0,0.5888000000000001
239,239,BPAa102,2018-04-12,5.198611111111111,140.43541666666667,1.0,1.0,1.0,0.0,3.37045
240,240,BPAa102,2018-04-13,5.5,31.944444444444443,1.0,1.0,1.0,0.0,0.7666666666666666
241,241,BPAa102,2018-04-16,8.0,147.91666666666666,1.0,1.0,1.0,1.0,3.55
242,242,BPAa102,2018-04-17,8.0,41.4,1.0,1.0,1.0,1.0,0.9935999999999999
243,243,BPAa102,2018-04-18,8.0,103.45833333333333,1.0,1.0,1.0,1.0,2.483
244,244,BPAa102,2018-05-09,5.75,28.366666666666667,1.0,1.0,1.0,0.0,0.6808
245,245,BPAa102,2018-05-10,5.511805555555555,38.077777777777776,1.0,1.0,1.0,0.0,0.9138666666666666
246,246,BPAa102,2018-05-11,5.5,70.71041666666666,1.0,1.0,1.0,0.0,1.6970499999999997
247,247,BPAa102,2018-05-12,5.5,26.322222222222223,1.0,1.0,0.0,0.0,0.6317333333333334
248,248,BPAa102,2018-05-14,8.0,44.46666666666667,1.0,1.0,1.0,1.0,1.0672000000000001
249,249,BPAa102,2018-05-15,8.0,19.166666666666668,1.0,1.0,1.0,1.0,0.46
250,250,BPAa102,2018-05-16,8.0,57.5,1.0,1.0,1.0,1.0,1.38
251,251,BPAa102,2018-05-17,8.0,21.466666666666665,1.0,1.0,1.0,1.0,0.5151999999999999
252,252,BPAa102,2018-05-18,8.0,57.24444444444445,1.0,1.0,1.0,1.0,1.3738666666666668
253,253,BPAa102,2018-05-19,8.0,40.888888888888886,1.0,1.0,0.0,1.0,0.9813333333333333
254,254,BPAa102,2018-05-21,7.0,26.57777777777778,1.0,1.0,1.0,0.0,0.6378666666666667
255,255,BPAa102,2018-05-22,5.208333333333333,24.533333333333335,1.0,1.0,1.0,0.0,0.5888000000000001
256,256,BPAa102,2018-05-24,6.990277777777778,23.0,1.0,1.0,1.0,0.0,0.552
